User ID,Created At,Tweet
1552594619623514112,2024-06-19 21:34:53+00:00,"RT @DowlatNowrouzi: The #Khamenei-commissioned Guardian Council approved the candidacy of another key perpetrator of the 1988 massacre, Mos…"
1683957876602310656,2024-06-19 21:26:43+00:00,RT @eghtesadnia: Mostafa Pourmohammadi showed up to his economic roundtable accompanied by his own daughter who's got a PHD in Economics as…
1779119121474469888,2024-06-19 20:56:59+00:00,RT @eghtesadnia: Mostafa Pourmohammadi showed up to his economic roundtable accompanied by his own daughter who's got a PHD in Economics as…
1778816372182585344,2024-06-19 20:52:15+00:00,RT @websterkaroon: Pourmohammadi brought his daughter with him for his talk about the economy. She's a PhD student in Economics &amp; mocked th…
1698535739896868864,2024-06-19 20:51:46+00:00,RT @eghtesadnia: Mostafa Pourmohammadi showed up to his economic roundtable accompanied by his own daughter who's got a PHD in Economics as…
3136423224,2024-06-19 20:51:09+00:00,Mostafa Pourmohammadi showed up to his economic roundtable accompanied by his own daughter who's got a PHD in Economics as his economic advisor 🥹 https://t.co/MFk0lohVck
3136423224,2024-06-19 20:48:10+00:00,Mostafa Pourmohammadi is truly the real winner of this election ❤️🇮🇷 https://t.co/kow81aHUOM
1667163502622932995,2024-06-19 20:34:21+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : Mostafa Pourmohammadi's life is full of crimes.
Mostafa Pourmohammadi has been the advisor…"
2759399473,2024-06-19 20:29:35+00:00,RT @websterkaroon: Pourmohammadi brought his daughter with him for his talk about the economy. She's a PhD student in Economics &amp; mocked th…
558903596,2024-06-19 20:13:09+00:00,RT @websterkaroon: Pourmohammadi brought his daughter with him for his talk about the economy. She's a PhD student in Economics &amp; mocked th…
1224158862741164032,2024-06-19 20:04:22+00:00,"Pourmohammadi brought his daughter with him for his talk about the economy. She's a PhD student in Economics &amp; mocked the notion that anything can be done without sanctions relief.

Her chador fell off while she was speaking ... which is hard to believe is a coincidence 😂 https://t.co/M4jsuDQJdT"
1701875723114344448,2024-06-19 19:32:08+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
704527972796071937,2024-06-19 19:08:06+00:00,"RT @saeersabil: 🟣  المجرم ""بورمحمدي"" مرشح خامنئي يقول إن حكومته هي حكومة الحب!!..
«پورمحمدی» جنایتکار، کاندیدای خامنه‌ای میگوید دولت او دول…"
151424609,2024-06-19 19:01:11+00:00,"— 🇮🇷 One of the most recent polls in Iran's Presidential campaign:

'In the upcoming Presidential election, which candidate will you vote for?'

– 24.8% Ghalibaf
– 24.7% Jalili
– 23.1% Pezeshkian
– 4.9% Ghazizadeh-Hashemi
– 1.6% Pourmohammadi
– 1.1% Zakani

19.8% Undecided https://t.co/uxdxHkY0AG"
999695980831260672,2024-06-19 18:40:06+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
837028893303443466,2024-06-19 18:26:33+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
1614781333506490369,2024-06-19 18:16:18+00:00,"@Alfoneh @mb_ghalibaf @drpezeshkian @DrSaeedJalili True. but still, being ""effective"" needs more of an objective measurement in which a reasonable number of individuals affirm being ""affected"". 
Putting that apart, take a look at PourMohammadi's, they are also of high quality."
1371551264430030860,2024-06-19 18:06:59+00:00,"RT @Mision_Verdad: 🇮🇷 Reciente encuesta sobre la campaña presidencial de Irán:

""En las próximas elecciones presidenciales, ¿por qué candid…"
1663024741303861250,2024-06-19 17:33:09+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
1460647702195318789,2024-06-19 17:31:44+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
