User ID,Created At,Tweet
1398573124506034176,2024-06-20 14:53:07+00:00,RT @Najibnaik: شرکت در انتخابات مشارکت در ظلم و وحشت و دزدی و قتل و فساد جمهوری اسلامی در ایران است. رای دادن به رییس جمهوری که هیچ اختیاری…
1574114490869862401,2024-06-20 14:53:06+00:00,"RT @payande_iran3: وقتی توی یک جمله ذات کثیف خودتو عیان میکنی و ثابت می‌کنی حتی اون یه نمه چس ناله هم دروغه!!
#ننگ_بر_فتنه_۵۷ 
#نه_به_سیرک_…"
1597916044126916608,2024-06-20 14:53:03+00:00,RT @adam_hesabi: امروز سالروز قتلِ #ندا_آقاسلطان است ، در تراژدی آن قتلِ فجیع توسط رژیم ج.ا همین بس که هفته نامه تایم آن سالها نوشت ؛ لحظه…
1586638097642651648,2024-06-20 14:53:03+00:00,#سیرک_انتخابات https://t.co/HNTv0CVacN
995173233610690560,2024-06-20 14:53:00+00:00,RT @amiretemadi: روشن است که اینجا مساله‌، شخص تاج‌زاده نیست که برخی مواضع او نسبت به آن زمان تغییراتی هم کرده و باید صبر کرد و دید درنهایت…
1744336637943836672,2024-06-20 14:52:59+00:00,RT @amiretemadi: تقریبا همه اینهایی که اینجا ژست تحریمی گرفته‌اند که می‌خواهند به پزشکیان رای دهند، در سیرک قبلی به همتی هم داده‌اند. تویی…
1705499530379120640,2024-06-20 14:52:59+00:00,"RT @amini_sali85687: یعنی ده هزار نفر لایک کردن و یادشون رفته ده روز کامل اینترنت رو قطع کردن که صدای مردم رو خاموش کنن؟
اصلا هم لایک نخرید…"
2402356545,2024-06-20 14:52:58+00:00,@DavariAbdolreza #سیرک_انتخابات  سرشماری احمق هاست .
797159363811147776,2024-06-20 14:52:58+00:00,"ما قراره تو جشن عروسی حنانه شرکت کنیم، نه تو #سیرک_انتخابات! 
ما با هم فرق داریم....

#ElectionCircus https://t.co/rt3HbxB2Y0"
1609186316499013632,2024-06-20 14:52:50+00:00,RT @navidi49: نظر به اینکه اصلاح طلبان برای ترغیب مردم به حضور در #سیرک_انتخابات مدعی هستند که ما با این اصولگراها فرق داریم بیاین به #پزشک…
1572660761465421825,2024-06-20 14:52:49+00:00,"RT @hanis60163: هر کسی در #سيرک_انتخابات 
شرکت کنه ، چیه؟؟؟🤔 https://t.co/zdjF3TnYWF"
1327436436635750401,2024-06-20 14:52:47+00:00,"RT @SHAYA9000: وقتی داری اون انگشت کثیفت رو می‌زنی تو
خون «نوید» از مادرش خجالت نمی‌کشی؟!
#نوید_افکاری‌
#سیرک_انتخابات https://t.co/Mpnd7NJ…"
995173233610690560,2024-06-20 14:52:44+00:00,RT @amiretemadi: این توییت تاج‌زاده بعد از #سیرک_انتخابات ۹۶ را ببینید که چگونه برای ترامپ رجزخوانی می‌کرده که جمهوری اسلامی ۴۰میلیون رای م…
700751668762152960,2024-06-20 14:52:43+00:00,"RT @hanis60163: هر کسی در #سيرک_انتخابات 
شرکت کنه ، چیه؟؟؟🤔 https://t.co/zdjF3TnYWF"
1429287985615343620,2024-06-20 14:52:40+00:00,"RT @ANUBIS_GOD2: #توئیت_مرگ
عباس ابراهیم حمزه فرمانده میدانی حزب الله ، توسط ارتش اسرائیل بدرک واصل شد.👈🥚
#سیرک_انتخابات https://t.co/iF2LH…"
1337438368058269700,2024-06-20 14:52:39+00:00,"RT @Pegahan__: #دختر_قالیباف همانند دیگر انگل‌زاده‌های جمهوری اسلامی است:
پررو، وقیح، دروغگو، لکاته، آکله و سلیطه

«دخترانِ تراز همان پدران…"
1705857324215136256,2024-06-20 14:52:39+00:00,RT @SalomeSeyednia: کاری نمادین و بامفهومی از @1979forIran درباره #سیرک_انتخابات و کسانی که انگشت تو خون مردم میزنند ... https://t.co/nwVDF…
1579138673282514944,2024-06-20 14:52:35+00:00,"RT @Aryammehr_2: خدایی بازیگریشون از رضا گلزار بهتره 
#سیرک_انتخابات https://t.co/6za4SnRrXK"
